geography,immigrant_status,total_pop,total_income,total_stir,owner_pop,owner_income,owner_stir,renter_pop,renter_income,renter_stir,renter_owner_gap,city,csd_name
    Beaconsfield (2466107) V 00000 (  0.8%),Immigrant,6340.0,185200.0,19.9,5780.0,188200.0,19.2,555.0,153500.0,27.3,8.100000000000001,Montreal,Beaconsfield
    Baie-D'Urfé (2466112) V 00000 (  1.2%),Total Immigrant Status,3615.0,223400.0,14.8,3460.0,225800.0,14.5,150.0,168000.0,22.0,7.5,Montreal,Baie-D'Urfé
    Baie-D'Urfé (2466112) V 00000 (  1.2%),Non-immigrants,2265.0,248200.0,13.9,2190.0,252000.0,13.5,75.0,132000.0,23.2,9.7,Montreal,Baie-D'Urfé
    Baie-D'Urfé (2466112) V 00000 (  1.2%),Immigrant,1350.0,181600.0,16.4,1270.0,180400.0,16.1,80.0,200000.0,20.8,4.699999999999999,Montreal,Baie-D'Urfé
    Sainte-Anne-de-Bellevue (2466117) V 00000 (  7.0%),Total Immigrant Status,4555.0,147600.0,18.3,2955.0,189000.0,14.9,1600.0,70900.0,24.5,9.6,Montreal,Sainte-Anne-de-Bellevue
    Sainte-Anne-de-Bellevue (2466117) V 00000 (  7.0%),Non-immigrants,3135.0,160800.0,17.1,2090.0,202800.0,13.9,1050.0,77000.0,23.5,9.6,Montreal,Sainte-Anne-de-Bellevue
    Sainte-Anne-de-Bellevue (2466117) V 00000 (  7.0%),Immigrant,1415.0,118300.0,20.9,865.0,156000.0,17.3,550.0,59400.0,26.5,9.2,Montreal,Sainte-Anne-de-Bellevue
    Senneville (2466127) VL 00000 (  6.0%),Total Immigrant Status,935.0,236000.0,14.2,770.0,248000.0,14.2,160.0,178000.0,14.2,0.0,Montreal,Senneville
    Senneville (2466127) VL 00000 (  6.0%),Non-immigrants,675.0,204800.0,14.2,585.0,204000.0,14.6,90.0,212000.0,11.6,-3.0,Montreal,Senneville
    Senneville (2466127) VL 00000 (  6.0%),Immigrant,260.0,316000.0,14.3,195.0,380000.0,13.0,70.0,132000.0,18.0,5.0,Montreal,Senneville
    Dollard-Des Ormeaux (2466142) V 00000 (  1.7%),Total Immigrant Status,47270.0,144800.0,17.4,37500.0,160000.0,16.0,9770.0,86300.0,23.0,7.0,Montreal,Dollard-Des Ormeaux
    Dollard-Des Ormeaux (2466142) V 00000 (  1.7%),Non-immigrants,19850.0,167600.0,15.9,16485.0,183600.0,14.5,3360.0,88700.0,22.7,8.2,Montreal,Dollard-Des Ormeaux
    Dollard-Des Ormeaux (2466142) V 00000 (  1.7%),Immigrant,27425.0,128200.0,18.5,21010.0,141400.0,17.1,6410.0,85100.0,23.2,6.099999999999998,Montreal,Dollard-Des Ormeaux
    Saint-Mathieu (2467005) MÉ 00000 (  1.7%),Total Immigrant Status,2285.0,127900.0,14.5,2065.0,132200.0,14.5,225.0,88000.0,14.4,-0.09999999999999964,Montreal,Saint-Mathieu
    Saint-Mathieu (2467005) MÉ 00000 (  1.7%),Non-immigrants,2200.0,128400.0,14.6,1980.0,132800.0,14.6,215.0,89000.0,14.5,-0.09999999999999964,Montreal,Saint-Mathieu
    Saint-Mathieu (2467005) MÉ 00000 (  1.7%),Immigrant,90.0,114000.0,13.2,80.0,120000.0,13.5,0.0,,,,Montreal,Saint-Mathieu
    Saint-Philippe (2467010) V 00000 (  2.2%),Total Immigrant Status,7330.0,131800.0,16.2,6415.0,138800.0,15.5,920.0,83200.0,20.9,5.399999999999999,Montreal,Saint-Philippe
    Saint-Philippe (2467010) V 00000 (  2.2%),Non-immigrants,6470.0,132000.0,15.8,5630.0,139000.0,15.0,835.0,84800.0,20.9,5.899999999999999,Montreal,Saint-Philippe
    Saint-Philippe (2467010) V 00000 (  2.2%),Immigrant,865.0,130000.0,19.0,780.0,136800.0,18.7,80.0,67000.0,21.0,2.3000000000000007,Montreal,Saint-Philippe
    La Prairie (2467015) V 00000 (  2.1%),Total Immigrant Status,25950.0,139400.0,16.7,20650.0,156200.0,15.2,5300.0,74100.0,22.2,7.0,Montreal,La Prairie
    La Prairie (2467015) V 00000 (  2.1%),Non-immigrants,20040.0,142800.0,15.6,15545.0,163600.0,13.6,4495.0,70400.0,22.6,9.000000000000002,Montreal,La Prairie
    La Prairie (2467015) V 00000 (  2.1%),Immigrant,5910.0,128600.0,20.2,5100.0,133800.0,20.3,810.0,95000.0,19.8,-0.5,Montreal,La Prairie
    Candiac (2467020) V 00000 (  1.2%),Total Immigrant Status,22205.0,198800.0,16.2,19180.0,216800.0,14.9,3030.0,84900.0,24.6,9.700000000000001,Montreal,Candiac
    Candiac (2467020) V 00000 (  1.2%),Non-immigrants,17040.0,215000.0,14.7,14595.0,236800.0,13.2,2440.0,85100.0,23.9,10.7,Montreal,Candiac
    Candiac (2467020) V 00000 (  1.2%),Immigrant,5170.0,145600.0,21.1,4585.0,153400.0,20.3,580.0,84000.0,27.7,7.399999999999999,Montreal,Candiac
    Delson (2467025) V 00000 (  2.3%),Total Immigrant Status,8250.0,115500.0,16.0,6330.0,126800.0,14.4,1920.0,78100.0,21.2,6.799999999999999,Montreal,Delson
    Delson (2467025) V 00000 (  2.3%),Non-immigrants,7035.0,115400.0,15.5,5235.0,128200.0,13.7,1800.0,78400.0,21.0,7.300000000000001,Montreal,Delson
    Delson (2467025) V 00000 (  2.3%),Immigrant,1210.0,115800.0,18.5,1095.0,120400.0,17.9,120.0,73000.0,24.0,6.100000000000001,Montreal,Delson
    Sainte-Catherine (2467030) V 00000 (  1.7%),Total Immigrant Status,16510.0,118600.0,16.7,13300.0,129200.0,15.2,3205.0,74400.0,22.8,7.600000000000001,Montreal,Sainte-Catherine
    Sainte-Catherine (2467030) V 00000 (  1.7%),Non-immigrants,14115.0,117600.0,16.5,11095.0,129400.0,14.7,3025.0,74100.0,23.1,8.400000000000002,Montreal,Sainte-Catherine
    Sainte-Catherine (2467030) V 00000 (  1.7%),Immigrant,2390.0,124400.0,17.8,2210.0,128200.0,17.8,180.0,79500.0,18.1,0.3000000000000007,Montreal,Sainte-Catherine
    Saint-Constant (2467035) V 00000 (  1.4%),Total Immigrant Status,29595.0,128400.0,16.1,24760.0,138000.0,15.1,4830.0,79100.0,21.1,6.000000000000002,Montreal,Saint-Constant
    Saint-Constant (2467035) V 00000 (  1.4%),Non-immigrants,23535.0,129200.0,15.2,19195.0,140600.0,13.8,4345.0,78000.0,21.1,7.300000000000001,Montreal,Saint-Constant
    Saint-Constant (2467035) V 00000 (  1.4%),Immigrant,6060.0,125800.0,19.5,5570.0,129000.0,19.4,490.0,89200.0,20.8,1.4000000000000021,Montreal,Saint-Constant
    Saint-Isidore (2467040) PE 00000 (  2.6%),Total Immigrant Status,2580.0,120900.0,14.6,2055.0,129600.0,13.9,525.0,86400.0,17.4,3.4999999999999982,Montreal,Saint-Isidore
    Saint-Isidore (2467040) PE 00000 (  2.6%),Non-immigrants,2415.0,119200.0,14.7,1920.0,129400.0,13.8,490.0,79600.0,18.6,4.800000000000001,Montreal,Saint-Isidore
    Saint-Isidore (2467040) PE 00000 (  2.6%),Immigrant,170.0,144000.0,13.3,135.0,134000.0,16.6,0.0,,,,Montreal,Saint-Isidore
    Mercier (2467045) V 00000 (  1.3%),Total Immigrant Status,14475.0,130800.0,16.1,12405.0,139400.0,15.3,2070.0,79300.0,20.6,5.300000000000001,Montreal,Mercier
    Mercier (2467045) V 00000 (  1.3%),Non-immigrants,12025.0,132800.0,15.3,10220.0,142600.0,14.3,1810.0,77700.0,20.9,6.599999999999998,Montreal,Mercier
    Mercier (2467045) V 00000 (  1.3%),Immigrant,2455.0,121100.0,19.9,2185.0,124700.0,20.1,260.0,91000.0,17.9,-2.200000000000003,Montreal,Mercier
    Châteauguay (2467050) V 00000 (  2.4%),Total Immigrant Status,49640.0,110600.0,18.3,39245.0,121100.0,17.1,10400.0,71200.0,22.9,5.799999999999997,Montreal,Châteauguay
    Châteauguay (2467050) V 00000 (  2.4%),Non-immigrants,34475.0,109900.0,17.7,25825.0,122900.0,16.0,8645.0,70900.0,22.9,6.899999999999999,Montreal,Châteauguay
    Châteauguay (2467050) V 00000 (  2.4%),Immigrant,15165.0,112500.0,19.8,13420.0,117600.0,19.4,1750.0,72700.0,22.7,3.3000000000000007,Montreal,Châteauguay
    Léry (2467055) V 00000 (  2.0%),Total Immigrant Status,2375.0,148400.0,17.1,2055.0,157800.0,15.7,320.0,87200.0,25.7,10.0,Montreal,Léry
    Léry (2467055) V 00000 (  2.0%),Non-immigrants,2160.0,147200.0,16.6,1875.0,160000.0,15.1,290.0,62800.0,26.4,11.299999999999999,Montreal,Léry
    Léry (2467055) V 00000 (  2.0%),Immigrant,215.0,160000.0,21.5,180.0,135000.0,21.8,35.0,300000.0,20.0,-1.8000000000000007,Montreal,Léry
    Kahnawake (2467802) IRI 19999 (  0.0%),Total Immigrant Status,,,,,,,,,,,Montreal,Kahnawake
    Kahnawake (2467802) IRI 19999 (  0.0%),Non-immigrants,,,,,,,,,,,Montreal,Kahnawake
    Kahnawake (2467802) IRI 19999 (  0.0%),Immigrant,,,,,,,,,,,Montreal,Kahnawake
    Beauharnois (2470022) V 00000 (  1.7%),Total Immigrant Status,13370.0,98000.0,17.2,9290.0,112600.0,16.0,4080.0,64700.0,19.9,3.8999999999999986,Montreal,Beauharnois
    Beauharnois (2470022) V 00000 (  1.7%),Non-immigrants,12700.0,97200.0,17.0,8745.0,111900.0,15.7,3955.0,64600.0,19.8,4.100000000000001,Montreal,Beauharnois
    Beauharnois (2470022) V 00000 (  1.7%),Immigrant,665.0,114200.0,20.6,545.0,124400.0,20.0,120.0,69000.0,23.4,3.3999999999999986,Montreal,Beauharnois
    Saint-Zotique (2471025) MÉ 00000 (  3.6%),Total Immigrant Status,9475.0,116700.0,16.8,7575.0,126200.0,14.9,1900.0,78700.0,24.2,9.299999999999999,Montreal,Saint-Zotique
    Saint-Zotique (2471025) MÉ 00000 (  3.6%),Non-immigrants,8920.0,118100.0,16.6,7140.0,127800.0,14.7,1790.0,79700.0,24.0,9.3,Montreal,Saint-Zotique
    Saint-Zotique (2471025) MÉ 00000 (  3.6%),Immigrant,555.0,92400.0,20.4,440.0,100000.0,18.4,115.0,63000.0,28.4,10.0,Montreal,Saint-Zotique
    Les Coteaux (2471033) MÉ 00000 (  3.8%),Total Immigrant Status,5565.0,108300.0,15.8,4035.0,120900.0,14.8,1530.0,75500.0,18.2,3.3999999999999986,Montreal,Les Coteaux
    Les Coteaux (2471033) MÉ 00000 (  3.8%),Non-immigrants,5345.0,108300.0,15.7,3855.0,120800.0,14.8,1485.0,75900.0,18.2,3.3999999999999986,Montreal,Les Coteaux
    Les Coteaux (2471033) MÉ 00000 (  3.8%),Immigrant,220.0,109000.0,16.3,175.0,121000.0,16.2,45.0,62000.0,17.0,0.8000000000000007,Montreal,Les Coteaux
    Coteau-du-Lac (2471040) V 00000 (  2.5%),Total Immigrant Status,7125.0,134800.0,14.5,5810.0,148600.0,13.6,1315.0,73500.0,18.7,5.1,Montreal,Coteau-du-Lac
    Coteau-du-Lac (2471040) V 00000 (  2.5%),Non-immigrants,6795.0,134600.0,14.4,5560.0,148200.0,13.4,1235.0,73600.0,18.7,5.299999999999999,Montreal,Coteau-du-Lac
    Coteau-du-Lac (2471040) V 00000 (  2.5%),Immigrant,330.0,140500.0,17.0,255.0,160000.0,16.4,75.0,74000.0,18.8,2.400000000000002,Montreal,Coteau-du-Lac
    Les Cèdres (2471050) MÉ 00000 (  2.4%),Total Immigrant Status,7100.0,126800.0,15.2,6435.0,128400.0,15.1,665.0,111000.0,17.0,1.9000000000000004,Montreal,Les Cèdres
    Les Cèdres (2471050) MÉ 00000 (  2.4%),Non-immigrants,6485.0,124700.0,15.1,5915.0,129800.0,14.6,570.0,70400.0,19.8,5.200000000000001,Montreal,Les Cèdres
    Les Cèdres (2471050) MÉ 00000 (  2.4%),Immigrant,615.0,149000.0,16.8,515.0,111600.0,20.0,0.0,,,,Montreal,Les Cèdres
    Pointe-des-Cascades (2471055) VL 00000 (  1.1%),Total Immigrant Status,1755.0,114100.0,19.5,1405.0,124500.0,18.8,355.0,72800.0,22.3,3.5,Montreal,Pointe-des-Cascades
    Pointe-des-Cascades (2471055) VL 00000 (  1.1%),Non-immigrants,1460.0,109900.0,19.0,1120.0,120800.0,17.9,340.0,73600.0,22.3,4.400000000000002,Montreal,Pointe-des-Cascades
    Pointe-des-Cascades (2471055) VL 00000 (  1.1%),Immigrant,300.0,135000.0,22.2,285.0,139000.0,22.3,0.0,,,,Montreal,Pointe-des-Cascades
    L'Île-Perrot (2471060) V 00000 (  2.5%),Total Immigrant Status,11095.0,109400.0,18.1,7985.0,124900.0,16.4,3110.0,69500.0,22.5,6.100000000000001,Montreal,L'Île-Perrot
    L'Île-Perrot (2471060) V 00000 (  2.5%),Non-immigrants,8405.0,106700.0,17.6,5740.0,124100.0,15.5,2660.0,69200.0,22.1,6.600000000000001,Montreal,L'Île-Perrot
    L'Île-Perrot (2471060) V 00000 (  2.5%),Immigrant,2695.0,117600.0,19.6,2245.0,126900.0,18.6,450.0,71200.0,24.6,6.0,Montreal,L'Île-Perrot
    Notre-Dame-de-l'Île-Perrot (2471065) V 00000 (  1.3%),Total Immigrant Status,11345.0,156600.0,15.4,11015.0,158600.0,15.3,325.0,91600.0,19.1,3.8000000000000007,Montreal,Notre-Dame-de-l'Île-Perrot
    Notre-Dame-de-l'Île-Perrot (2471065) V 00000 (  1.3%),Non-immigrants,8795.0,163000.0,14.3,8535.0,165000.0,14.2,260.0,96000.0,17.4,3.1999999999999993,Montreal,Notre-Dame-de-l'Île-Perrot
    Notre-Dame-de-l'Île-Perrot (2471065) V 00000 (  1.3%),Immigrant,2550.0,134600.0,19.3,2480.0,136400.0,19.1,70.0,74000.0,25.6,6.5,Montreal,Notre-Dame-de-l'Île-Perrot
    Pincourt (2471070) V 00000 (  1.6%),Total Immigrant Status,14615.0,127100.0,16.9,13500.0,131800.0,16.3,1115.0,71600.0,24.5,8.2,Montreal,Pincourt
    Pincourt (2471070) V 00000 (  1.6%),Non-immigrants,10795.0,129200.0,15.9,9825.0,134800.0,15.1,970.0,73800.0,24.0,8.9,Montreal,Pincourt
    Pincourt (2471070) V 00000 (  1.6%),Immigrant,3820.0,121100.0,19.7,3680.0,123600.0,19.4,140.0,57000.0,27.8,8.400000000000002,Montreal,Pincourt
    Terrasse-Vaudreuil (2471075) MÉ 00000 (  2.5%),Total Immigrant Status,1880.0,113900.0,16.8,1455.0,125700.0,16.0,425.0,73200.0,19.4,3.3999999999999986,Montreal,Terrasse-Vaudreuil
    Terrasse-Vaudreuil (2471075) MÉ 00000 (  2.5%),Non-immigrants,1465.0,113400.0,16.1,1095.0,127000.0,15.0,370.0,72800.0,19.1,4.100000000000001,Montreal,Terrasse-Vaudreuil
    Terrasse-Vaudreuil (2471075) MÉ 00000 (  2.5%),Immigrant,415.0,115600.0,19.3,360.0,122000.0,19.0,50.0,74000.0,21.2,2.1999999999999993,Montreal,Terrasse-Vaudreuil
    Vaudreuil-Dorion (2471083) V 00000 (  2.9%),Total Immigrant Status,41710.0,119600.0,18.4,33585.0,128600.0,17.3,8125.0,82300.0,23.0,5.699999999999999,Montreal,Vaudreuil-Dorion
    Vaudreuil-Dorion (2471083) V 00000 (  2.9%),Non-immigrants,27715.0,119000.0,17.2,21415.0,130600.0,15.4,6300.0,79900.0,23.2,7.799999999999999,Montreal,Vaudreuil-Dorion
    Vaudreuil-Dorion (2471083) V 00000 (  2.9%),Immigrant,13995.0,120800.0,20.8,12165.0,125400.0,20.5,1825.0,90300.0,22.4,1.8999999999999986,Montreal,Vaudreuil-Dorion
    Vaudreuil-sur-le-Lac (2471090) VL 00000 (  0.8%),Total Immigrant Status,1330.0,178800.0,15.0,1295.0,181200.0,14.8,0.0,,,,Montreal,Vaudreuil-sur-le-Lac
    Vaudreuil-sur-le-Lac (2471090) VL 00000 (  0.8%),Non-immigrants,1075.0,184000.0,13.0,1055.0,185200.0,12.9,0.0,,,,Montreal,Vaudreuil-sur-le-Lac
    Vaudreuil-sur-le-Lac (2471090) VL 00000 (  0.8%),Immigrant,260.0,157000.0,23.3,240.0,162000.0,22.9,0.0,,,,Montreal,Vaudreuil-sur-le-Lac
    L'Île-Cadieux (2471095) V 00909 (  7.1%),Total Immigrant Status,,,,,,,,,,,Montreal,L'Île-Cadieux
    L'Île-Cadieux (2471095) V 00909 (  7.1%),Non-immigrants,,,,,,,,,,,Montreal,L'Île-Cadieux
    L'Île-Cadieux (2471095) V 00909 (  7.1%),Immigrant,,,,,,,,,,,Montreal,L'Île-Cadieux
    Hudson (2471100) V 00000 (  2.9%),Total Immigrant Status,5330.0,185400.0,17.3,4915.0,195600.0,16.5,415.0,66000.0,26.6,10.100000000000001,Montreal,Hudson
    Hudson (2471100) V 00000 (  2.9%),Non-immigrants,4160.0,193000.0,16.9,3800.0,204600.0,16.1,360.0,69200.0,25.2,9.099999999999998,Montreal,Hudson
    Hudson (2471100) V 00000 (  2.9%),Immigrant,1175.0,158000.0,18.7,1115.0,164400.0,17.8,60.0,48000.0,34.5,16.7,Montreal,Hudson
    Saint-Lazare (2471105) V 00000 (  1.0%),Total Immigrant Status,22245.0,158000.0,16.4,21095.0,161800.0,16.1,1145.0,88200.0,21.3,5.199999999999999,Montreal,Saint-Lazare
    Saint-Lazare (2471105) V 00000 (  1.0%),Non-immigrants,18420.0,162200.0,15.8,17530.0,166200.0,15.5,890.0,83600.0,20.6,5.100000000000001,Montreal,Saint-Lazare
    Saint-Lazare (2471105) V 00000 (  1.0%),Immigrant,3825.0,137600.0,19.5,3565.0,140000.0,19.2,255.0,104000.0,23.7,4.5,Montreal,Saint-Lazare
    Saint-Eustache (2472005) V 00000 (  2.1%),Total Immigrant Status,43795.0,113000.0,16.4,33650.0,126200.0,14.8,10145.0,69300.0,21.5,6.699999999999999,Montreal,Saint-Eustache
    Saint-Eustache (2472005) V 00000 (  2.1%),Non-immigrants,37540.0,112700.0,16.0,28380.0,127500.0,14.1,9160.0,67100.0,21.9,7.799999999999999,Montreal,Saint-Eustache
    Saint-Eustache (2472005) V 00000 (  2.1%),Immigrant,6260.0,114500.0,18.6,5275.0,119100.0,18.8,985.0,89800.0,17.4,-1.4000000000000021,Montreal,Saint-Eustache
    Deux-Montagnes (2472010) V 00000 (  2.2%),Total Immigrant Status,17515.0,120400.0,16.5,13365.0,134400.0,15.0,4150.0,75500.0,21.4,6.399999999999999,Montreal,Deux-Montagnes
    Deux-Montagnes (2472010) V 00000 (  2.2%),Non-immigrants,14305.0,121300.0,16.3,10585.0,137600.0,14.7,3725.0,75000.0,21.0,6.300000000000001,Montreal,Deux-Montagnes
    Deux-Montagnes (2472010) V 00000 (  2.2%),Immigrant,3210.0,116000.0,17.7,2780.0,121600.0,16.6,430.0,80000.0,25.0,8.399999999999999,Montreal,Deux-Montagnes
    Sainte-Marthe-sur-le-Lac (2472015) V 00000 (  2.0%),Total Immigrant Status,19740.0,126300.0,16.4,18145.0,130200.0,16.1,1595.0,81700.0,20.0,3.8999999999999986,Montreal,Sainte-Marthe-sur-le-Lac
    Sainte-Marthe-sur-le-Lac (2472015) V 00000 (  2.0%),Non-immigrants,16020.0,125700.0,15.6,14620.0,129800.0,15.3,1405.0,81700.0,19.1,3.8000000000000007,Montreal,Sainte-Marthe-sur-le-Lac
    Sainte-Marthe-sur-le-Lac (2472015) V 00000 (  2.0%),Immigrant,3720.0,129000.0,19.8,3530.0,131600.0,19.5,190.0,82000.0,26.1,6.600000000000001,Montreal,Sainte-Marthe-sur-le-Lac
    Pointe-Calumet (2472020) MÉ 00000 (  2.7%),Total Immigrant Status,6260.0,103800.0,16.5,5015.0,110600.0,15.5,1245.0,76400.0,20.2,4.699999999999999,Montreal,Pointe-Calumet
    Pointe-Calumet (2472020) MÉ 00000 (  2.7%),Non-immigrants,5925.0,103700.0,16.4,4710.0,111100.0,15.3,1220.0,75000.0,20.3,5.0,Montreal,Pointe-Calumet
    Pointe-Calumet (2472020) MÉ 00000 (  2.7%),Immigrant,330.0,105600.0,18.3,305.0,102000.0,18.8,0.0,,,,Montreal,Pointe-Calumet
    Saint-Joseph-du-Lac (2472025) MÉ 00000 (  3.7%),Total Immigrant Status,6790.0,129400.0,15.4,5680.0,139600.0,14.7,1110.0,77000.0,18.7,4.0,Montreal,Saint-Joseph-du-Lac
    Saint-Joseph-du-Lac (2472025) MÉ 00000 (  3.7%),Non-immigrants,6475.0,126700.0,15.5,5385.0,137000.0,14.8,1095.0,76000.0,18.9,4.099999999999998,Montreal,Saint-Joseph-du-Lac
    Saint-Joseph-du-Lac (2472025) MÉ 00000 (  3.7%),Immigrant,315.0,186000.0,13.4,295.0,190000.0,13.5,0.0,,,,Montreal,Saint-Joseph-du-Lac
    Oka (2472032) MÉ 00000 (  4.0%),Total Immigrant Status,3785.0,133000.0,15.6,3235.0,143800.0,14.8,550.0,69600.0,20.5,5.699999999999999,Montreal,Oka
    Oka (2472032) MÉ 00000 (  4.0%),Non-immigrants,3690.0,133600.0,15.5,3140.0,144600.0,14.6,540.0,70000.0,20.6,6.000000000000002,Montreal,Oka
    Oka (2472032) MÉ 00000 (  4.0%),Immigrant,100.0,108000.0,21.0,95.0,114000.0,21.8,0.0,,,,Montreal,Oka
    Saint-Placide (2472043) MÉ 00000 (  4.7%),Total Immigrant Status,1575.0,110900.0,17.9,1245.0,117600.0,16.5,330.0,86000.0,23.2,6.699999999999999,Montreal,Saint-Placide
    Saint-Placide (2472043) MÉ 00000 (  4.7%),Non-immigrants,1460.0,108800.0,17.9,1145.0,115600.0,16.5,315.0,84000.0,23.2,6.699999999999999,Montreal,Saint-Placide
    Saint-Placide (2472043) MÉ 00000 (  4.7%),Immigrant,110.0,138000.0,17.8,95.0,142000.0,16.8,0.0,,,,Montreal,Saint-Placide
    Kanesatake (2472802) S-É 19999 (  0.0%),Total Immigrant Status,,,,,,,,,,,Montreal,Kanesatake
    Kanesatake (2472802) S-É 19999 (  0.0%),Non-immigrants,,,,,,,,,,,Montreal,Kanesatake
    Kanesatake (2472802) S-É 19999 (  0.0%),Immigrant,,,,,,,,,,,Montreal,Kanesatake
    Boisbriand (2473005) V 00000 (  3.0%),Total Immigrant Status,28060.0,124900.0,17.1,20220.0,142400.0,15.3,7835.0,79900.0,22.0,6.699999999999999,Montreal,Boisbriand
    Boisbriand (2473005) V 00000 (  3.0%),Non-immigrants,22555.0,127100.0,16.7,15750.0,148200.0,14.1,6805.0,78300.0,22.7,8.6,Montreal,Boisbriand
    Boisbriand (2473005) V 00000 (  3.0%),Immigrant,5505.0,115700.0,19.0,4475.0,121600.0,19.4,1030.0,90400.0,17.3,-2.099999999999998,Montreal,Boisbriand
    Sainte-Thérèse (2473010) V 00000 (  2.8%),Total Immigrant Status,24660.0,102200.0,18.7,13385.0,131000.0,15.9,11280.0,68100.0,21.9,5.999999999999998,Montreal,Sainte-Thérèse
    Sainte-Thérèse (2473010) V 00000 (  2.8%),Non-immigrants,22035.0,103100.0,18.6,11800.0,133600.0,15.5,10235.0,67900.0,22.1,6.600000000000001,Montreal,Sainte-Thérèse
    Sainte-Thérèse (2473010) V 00000 (  2.8%),Immigrant,2630.0,94700.0,19.8,1580.0,110900.0,19.2,1045.0,70200.0,20.7,1.5,Montreal,Sainte-Thérèse
    Blainville (2473015) V 00000 (  1.6%),Total Immigrant Status,58615.0,155800.0,15.9,49050.0,169000.0,14.9,9570.0,89100.0,21.2,6.299999999999999,Montreal,Blainville
    Blainville (2473015) V 00000 (  1.6%),Non-immigrants,48875.0,159200.0,15.2,40240.0,174400.0,13.8,8635.0,87700.0,21.4,7.599999999999998,Montreal,Blainville
    Blainville (2473015) V 00000 (  1.6%),Immigrant,9745.0,139800.0,19.9,8805.0,143800.0,19.9,935.0,102200.0,19.4,-0.5,Montreal,Blainville
    Rosemère (2473020) V 00000 (  1.2%),Total Immigrant Status,13955.0,169000.0,14.5,12800.0,176800.0,13.9,1160.0,83400.0,21.6,7.700000000000001,Montreal,Rosemère
    Rosemère (2473020) V 00000 (  1.2%),Non-immigrants,11330.0,174800.0,13.8,10390.0,183600.0,13.1,935.0,77000.0,21.5,8.4,Montreal,Rosemère
    Rosemère (2473020) V 00000 (  1.2%),Immigrant,2625.0,144200.0,17.7,2410.0,147400.0,17.3,220.0,111000.0,22.1,4.800000000000001,Montreal,Rosemère
    Lorraine (2473025) V 00000 (  1.3%),Total Immigrant Status,9425.0,188400.0,14.6,9250.0,189600.0,14.5,180.0,129000.0,17.1,2.6000000000000014,Montreal,Lorraine
    Lorraine (2473025) V 00000 (  1.3%),Non-immigrants,7875.0,192600.0,13.8,7735.0,194600.0,13.8,140.0,88000.0,18.0,4.199999999999999,Montreal,Lorraine
    Lorraine (2473025) V 00000 (  1.3%),Immigrant,1555.0,167400.0,18.2,1510.0,164600.0,18.3,40.0,260000.0,,,Montreal,Lorraine
    Bois-des-Filion (2473030) V 00000 (  2.7%),Total Immigrant Status,9935.0,114100.0,17.7,8060.0,123200.0,16.7,1875.0,75200.0,21.9,5.199999999999999,Montreal,Bois-des-Filion
    Bois-des-Filion (2473030) V 00000 (  2.7%),Non-immigrants,7875.0,114200.0,17.1,6220.0,124800.0,15.8,1650.0,74100.0,22.0,6.199999999999999,Montreal,Bois-des-Filion
    Bois-des-Filion (2473030) V 00000 (  2.7%),Immigrant,2065.0,114000.0,19.7,1840.0,117700.0,19.4,225.0,83000.0,21.6,2.200000000000003,Montreal,Bois-des-Filion
    Sainte-Anne-des-Plaines (2473035) V 00000 (  1.9%),Total Immigrant Status,14365.0,107100.0,16.6,10800.0,119100.0,15.2,3575.0,70900.0,21.0,5.800000000000001,Montreal,Sainte-Anne-des-Plaines
    Sainte-Anne-des-Plaines (2473035) V 00000 (  1.9%),Non-immigrants,13665.0,107200.0,16.4,10205.0,119600.0,14.9,3460.0,70600.0,20.8,5.9,Montreal,Sainte-Anne-des-Plaines
    Sainte-Anne-des-Plaines (2473035) V 00000 (  1.9%),Immigrant,705.0,105200.0,20.3,595.0,110000.0,19.3,110.0,79000.0,25.8,6.5,Montreal,Sainte-Anne-des-Plaines
